founder_id,founder_age,founder_gender,years_with_startup,founder_role,monthly_revenue_generated,work_life_balance_rating,venture_satisfaction,startup_performance_rating,funding_rounds_led,working_overtime,distance_from_investor_hub,education_background,personal_status,num_dependents,startup_stage,team_size_category,years_since_founding,remote_operations,leadership_scope,innovation_support,startup_reputation,founder_visibility,retention_status
8410,31,Male,19,Education,5390.0,Excellent,Medium,Average,2,No,22,Associate Degree,Married,0.0,Mid,Medium,89.0,No,No,No,Excellent,Medium,Stayed
64756,59,Female,4,Media,5534.0,Poor,High,Low,3,No,21,Master’s Degree,Divorced,3.0,Mid,Medium,21.0,No,No,No,Fair,Low,Stayed
30257,24,Female,10,Healthcare,8159.0,Good,High,Low,0,No,11,Bachelor’s Degree,Married,3.0,Mid,Medium,74.0,No,No,No,Poor,Low,Stayed
65791,36,Female,7,Education,3989.0,Good,High,High,1,No,27,High School,Single,2.0,Mid,Small,50.0,Yes,No,No,Good,Medium,Stayed
65026,56,Male,41,Education,4821.0,,,Average,0,Yes,71,High School,Divorced,0.0,Senior,Medium,68.0,No,No,No,Fair,Medium,Stayed
24368,38,Female,3,Technology,9977.0,Fair,High,Below Average,3,No,37,Bachelor’s Degree,Married,0.0,Mid,Medium,47.0,No,No,Yes,Fair,High,Left
64970,47,Male,23,Education,3681.0,,,High,1,Yes,75,High School,Divorced,,Entry,Small,93.0,No,No,No,Good,Medium,Left
36999,48,Male,16,Finance,11223.0,Excellent,Very High,High,2,No,5,Master’s Degree,Married,4.0,Entry,Medium,88.0,No,No,No,Excellent,Low,Stayed
32714,57,Male,44,Education,3773.0,Good,Medium,High,1,Yes,39,High School,Married,4.0,Entry,Medium,75.0,No,No,No,Fair,Medium,Stayed
15944,24,Female,1,Healthcare,7319.0,Poor,High,Average,1,Yes,57,PhD,Single,4.0,Entry,Large,45.0,No,No,Yes,Good,Low,Left
29972,30,Female,12,Education,5443.0,Good,High,Average,1,No,51,High School,Single,1.0,Entry,Small,17.0,No,No,No,Good,Medium,Left
9063,29,Female,6,Healthcare,8950.0,Poor,Medium,Low,2,No,26,Master’s Degree,Single,0.0,Mid,Medium,38.0,No,No,No,Poor,Medium,Left
21896,47,Female,38,Technology,9039.0,Fair,Very High,High,1,No,78,Associate Degree,Married,0.0,Entry,Small,68.0,No,No,No,Good,Low,Left
28098,31,Male,22,Healthcare,8090.0,Fair,Medium,High,4,Yes,30,Associate Degree,Divorced,2.0,Mid,Small,84.0,No,No,No,Good,Medium,Stayed
22068,40,Female,30,Technology,6350.0,Good,High,Average,0,No,98,High School,Single,0.0,Senior,Large,96.0,No,No,No,Good,High,Stayed
17696,40,Female,4,Finance,5176.0,Poor,High,Average,0,No,48,High School,Single,0.0,Entry,Small,21.0,Yes,No,No,Good,High,Left
55668,19,Female,9,Technology,8242.0,Excellent,Medium,Average,2,Yes,17,High School,Single,3.0,Mid,Small,63.0,No,No,No,Fair,High,Left
19288,33,Female,1,Finance,8733.0,Good,High,Below Average,1,Yes,86,High School,Single,0.0,Mid,Small,19.0,No,No,No,Good,Low,Stayed
17034,49,Female,37,Media,6252.0,Fair,High,High,2,No,60,Bachelor’s Degree,Divorced,4.0,Senior,Medium,70.0,No,No,No,Good,High,Stayed
9697,29,Male,9,Healthcare,7538.0,Fair,Medium,Average,0,No,10,Bachelor’s Degree,Married,0.0,Senior,Small,76.0,No,No,No,Good,High,Stayed
17209,51,Female,41,Finance,8733.0,Good,High,Average,2,Yes,18,Master’s Degree,Divorced,3.0,Mid,Small,72.0,No,No,No,Good,High,Stayed
45399,57,Female,33,Healthcare,8201.0,Good,Very High,Average,0,No,95,PhD,Married,1.0,Mid,Medium,95.0,No,No,No,Fair,Medium,Stayed
58984,39,Female,1,Finance,8079.0,Excellent,High,High,1,No,23,Master’s Degree,Single,0.0,Entry,Medium,20.0,No,No,No,Poor,Low,Left
24208,36,Male,13,Media,5874.0,Fair,High,Average,0,No,16,High School,Single,1.0,Mid,Medium,40.0,No,No,No,Good,High,Left
14291,54,Male,5,Education,4656.0,Good,Medium,Average,0,Yes,63,High School,Single,0.0,Mid,Medium,60.0,No,No,No,Good,Low,Left
20748,48,Male,9,Education,4987.0,Fair,High,Average,1,No,92,Associate Degree,Divorced,0.0,Entry,Medium,23.0,No,No,Yes,Good,Medium,Left
13394,23,Male,13,Technology,12507.0,Fair,High,High,0,No,86,High School,Single,1.0,Mid,Medium,83.0,No,No,Yes,Good,Low,Stayed
65251,45,Female,21,Healthcare,7571.0,Good,Very High,Average,1,Yes,30,Associate Degree,Married,1.0,Entry,Small,67.0,Yes,No,No,Fair,Medium,Stayed
6885,48,Male,32,Education,3535.0,Good,Medium,Average,0,Yes,48,Bachelor’s Degree,Married,0.0,Senior,Medium,84.0,No,No,No,Good,Low,Stayed
68576,45,Female,34,Finance,8330.0,Excellent,High,Average,0,Yes,58,Bachelor’s Degree,Married,4.0,Mid,Medium,91.0,Yes,No,No,Good,High,Stayed
69149,24,Male,11,Healthcare,6334.0,Good,High,Average,0,Yes,55,Bachelor’s Degree,Divorced,2.0,Senior,Small,28.0,No,No,Yes,Good,Medium,Stayed
61864,42,Male,1,Technology,8874.0,Good,Medium,Average,1,No,31,Associate Degree,Divorced,2.0,Entry,Small,27.0,No,No,No,Poor,Very High,Stayed
29641,53,Male,44,Healthcare,7364.0,Poor,Medium,Average,1,No,92,Associate Degree,Married,0.0,Mid,Small,55.0,No,Yes,No,Good,High,Left
65586,39,Male,22,Finance,5556.0,Good,High,Average,0,No,16,Associate Degree,Married,0.0,Entry,Medium,28.0,No,No,No,Excellent,Low,Left
15737,37,Male,2,Technology,9293.0,,,Below Average,0,No,55,Bachelor’s Degree,Married,,Mid,Small,54.0,No,No,Yes,Fair,Low,Stayed
51448,37,Male,6,Finance,7701.0,,,Below Average,0,Yes,32,High School,Married,,Entry,,,No,Yes,Yes,Good,Low,Stayed
12259,31,Male,18,Media,5105.0,Poor,Low,Average,2,No,82,Bachelor’s Degree,Single,2.0,Senior,Small,46.0,No,No,Yes,Excellent,Very High,Left
8881,37,Male,9,Healthcare,8632.0,Fair,High,Average,2,No,8,Master’s Degree,Divorced,2.0,Senior,Medium,86.0,Yes,No,No,Poor,High,Stayed
17543,45,Female,27,Media,5315.0,Good,High,Average,2,Yes,74,Associate Degree,Married,4.0,Entry,Small,70.0,No,No,Yes,Poor,Low,Stayed
74472,57,Female,23,Media,5938.0,Excellent,Very High,Average,2,Yes,3,Master’s Degree,Divorced,3.0,Mid,Medium,47.0,No,No,No,Good,Medium,Stayed
64075,42,Female,2,Media,6213.0,,,Average,0,No,5,Bachelor’s Degree,Single,4.0,Entry,Small,69.0,No,No,No,Good,Medium,Left
54804,31,Female,17,Media,5956.0,,,Average,0,No,76,Bachelor’s Degree,Divorced,4.0,Entry,Small,27.0,No,No,No,Good,Low,Left
24350,56,Female,22,Media,6605.0,Excellent,High,Below Average,2,Yes,47,Bachelor’s Degree,Married,2.0,Mid,Medium,74.0,No,No,No,Good,Low,Stayed
72189,34,Male,12,Finance,8274.0,Good,Very High,Below Average,0,Yes,67,Bachelor’s Degree,Single,1.0,Entry,Medium,36.0,No,No,No,Poor,Low,Left
36437,56,Male,7,Technology,9878.0,Good,Very High,Average,2,No,58,Master’s Degree,Single,1.0,Entry,Small,22.0,No,No,No,Good,Low,Left
34857,47,Female,36,Technology,8442.0,Fair,Low,High,1,No,84,Associate Degree,Single,0.0,Entry,Medium,67.0,Yes,No,No,Poor,Low,Left
26304,25,Female,2,Healthcare,6690.0,Fair,Low,High,0,Yes,14,Associate Degree,Married,2.0,Entry,Medium,25.0,Yes,No,No,Good,Medium,Stayed
33177,25,Female,3,Healthcare,8397.0,Excellent,High,Below Average,0,Yes,36,Bachelor’s Degree,Married,3.0,Entry,Small,49.0,Yes,No,No,Poor,Low,Stayed
70003,36,Male,8,Technology,9775.0,Fair,High,Average,1,Yes,79,Bachelor’s Degree,Single,1.0,Mid,Medium,61.0,No,No,Yes,Good,High,Left
63046,41,Male,28,Media,5586.0,Good,High,Average,0,No,52,Associate Degree,Married,0.0,Entry,Small,103.0,No,No,No,Good,Medium,Stayed
30924,55,Female,6,Healthcare,9355.0,Fair,Very High,Average,0,Yes,44,Bachelor’s Degree,Married,3.0,Senior,Small,64.0,No,No,Yes,Poor,High,Left
5254,48,Female,18,Technology,7976.0,Fair,High,High,0,Yes,32,High School,Single,2.0,Mid,Small,71.0,No,No,No,Good,Medium,Left
33430,21,Male,11,Media,6356.0,Poor,High,Average,0,No,89,Associate Degree,Married,0.0,Senior,Medium,12.0,No,No,No,Good,High,Stayed
67450,34,Male,21,Media,5967.0,Fair,Low,Average,1,No,39,Bachelor’s Degree,Married,0.0,Mid,Small,39.0,Yes,No,No,Good,Medium,Stayed
66579,28,Female,12,Technology,,,,Average,2,No,37,High School,Married,,Mid,,,No,No,No,Good,Low,Stayed
54104,26,Male,3,Finance,8673.0,Excellent,High,Average,0,No,64,Associate Degree,Single,1.0,Entry,Large,57.0,No,No,Yes,Good,Medium,Left
18361,47,Male,22,Education,5040.0,Fair,Very High,Low,3,Yes,7,High School,Married,0.0,Mid,Medium,58.0,Yes,No,No,Good,Low,Stayed
4098,30,Female,22,Technology,9894.0,Poor,Low,Average,1,No,87,Associate Degree,Single,2.0,Entry,Small,65.0,Yes,No,No,Excellent,Medium,Left
27742,24,Male,13,Technology,6785.0,Good,High,Average,0,No,24,Bachelor’s Degree,Single,3.0,Senior,Small,57.0,No,No,Yes,Fair,High,Left
1591,23,Female,2,Finance,7368.0,Fair,Very High,Below Average,0,No,15,Master’s Degree,Married,3.0,Senior,Small,17.0,No,No,Yes,Good,High,Stayed
27451,52,Male,34,Media,5154.0,Fair,Medium,Average,0,Yes,16,High School,Single,2.0,Mid,Small,83.0,No,No,No,Fair,Medium,Left
58305,51,Male,16,Healthcare,8407.0,Good,Very High,Average,1,No,63,Bachelor’s Degree,Single,1.0,Entry,Small,66.0,No,No,No,Good,Low,Left
19684,50,Male,21,Education,4195.0,,,Average,2,Yes,76,Bachelor’s Degree,Married,2.0,Entry,Small,100.0,Yes,No,No,Good,Very High,Stayed
9392,45,Male,6,Education,4451.0,Fair,High,Average,0,No,81,High School,Married,2.0,Entry,Large,65.0,No,No,No,Fair,Medium,Stayed
18598,31,Female,11,Technology,10122.0,Fair,High,Average,2,No,58,Bachelor’s Degree,Married,0.0,Senior,Small,62.0,Yes,No,No,Poor,Low,Stayed
70231,50,Male,35,Finance,7303.0,Good,High,Below Average,1,Yes,48,High School,Married,1.0,Entry,Medium,84.0,Yes,No,Yes,Poor,High,Stayed
65665,29,Male,8,Finance,7946.0,Poor,Very High,Average,0,No,75,Associate Degree,Single,1.0,Mid,Medium,17.0,No,Yes,No,Poor,High,Left
64242,27,Male,14,Finance,6026.0,Poor,High,Below Average,0,Yes,30,Bachelor’s Degree,Single,2.0,Mid,Large,20.0,No,No,No,Good,High,Left
23287,48,Male,1,Technology,10135.0,Poor,High,Low,0,Yes,13,Bachelor’s Degree,Single,3.0,Entry,Small,72.0,No,No,No,Good,Medium,Left
12556,47,Male,24,Healthcare,8631.0,Fair,Very High,High,0,No,35,Bachelor’s Degree,Married,3.0,Senior,Medium,89.0,No,No,No,Poor,Low,Stayed
68364,41,Female,11,Education,4431.0,,,High,0,No,8,Associate Degree,Married,,Senior,,,No,No,No,Excellent,Low,Left
31457,53,Female,2,Education,3598.0,Good,High,Average,0,Yes,98,Associate Degree,Single,1.0,Entry,Large,69.0,No,No,Yes,Fair,Medium,Left
14169,37,Female,2,Healthcare,7949.0,Excellent,Medium,Average,0,No,95,High School,Married,5.0,Entry,Large,6.0,Yes,No,No,Excellent,Low,Stayed
43193,21,Female,10,Healthcare,7967.0,Fair,High,Average,0,No,44,Master’s Degree,Single,1.0,Senior,Large,64.0,No,No,No,Fair,High,Stayed
67257,53,Female,23,Healthcare,8876.0,Fair,Low,Average,2,Yes,68,High School,Married,3.0,Entry,Medium,78.0,No,No,Yes,Good,High,Left
52985,45,Female,28,Media,6628.0,Good,High,Average,0,Yes,56,Bachelor’s Degree,Married,3.0,Senior,Medium,30.0,No,No,No,Fair,Low,Left
31826,49,Male,9,Healthcare,8340.0,Good,High,High,1,No,73,Bachelor’s Degree,Single,0.0,Entry,Large,77.0,No,No,No,Fair,Low,Left
64500,37,Male,22,Finance,10080.0,Poor,High,Average,0,No,21,Bachelor’s Degree,Married,1.0,Mid,Medium,69.0,No,No,No,Good,Medium,Left
24841,39,Male,9,Finance,8860.0,Good,Medium,Below Average,0,Yes,26,Bachelor’s Degree,Married,1.0,Mid,Medium,61.0,No,No,No,Fair,Medium,Left
62882,27,Male,17,Media,5678.0,Fair,High,Average,2,No,41,Bachelor’s Degree,Married,2.0,Mid,Medium,54.0,No,No,No,Good,Low,Stayed
7424,58,Male,14,Technology,8683.0,,,Average,2,No,34,Bachelor’s Degree,Divorced,,Senior,Large,,Yes,Yes,Yes,Good,Low,Stayed
9870,49,Female,2,Education,4042.0,Good,High,Below Average,0,No,29,Associate Degree,Divorced,2.0,Entry,Medium,58.0,No,No,No,Good,High,Left
6688,54,Male,24,Technology,9737.0,Poor,Medium,Below Average,0,No,8,Bachelor’s Degree,Married,0.0,Entry,Medium,88.0,Yes,No,No,Fair,Low,Stayed
3625,38,Male,18,Education,5246.0,Good,High,High,0,Yes,84,Master’s Degree,Divorced,2.0,Mid,Medium,20.0,No,No,No,Good,Low,Left
66157,19,Female,1,Finance,10141.0,Good,High,Average,1,No,19,Bachelor’s Degree,Single,1.0,Entry,Large,41.0,No,No,Yes,Fair,Medium,Left
